base,date,pay,type
2012-01-01,2011-12-31,pre,end of month
2012-01-01,2011-12-31,pre,first of month
2012-01-01,2011-12-30,pay,end of month
2011-12-16,2011-12-17,post,middle of month
2011-12-16,2011-12-15,pay,middle of month
2011-12-16,2011-12-15,pre,middle of month
2011-12-01,2011-12-02,post,end of month
2011-12-01,2011-12-02,post,first of month
2011-12-01,2011-12-01,pay,first of month
2011-12-01,2011-11-30,pay,end of month
2011-12-01,2011-11-30,pre,end of month
2011-12-01,2011-11-30,pre,first of month
2011-11-16,2011-11-17,post,middle of month
2011-11-16,2011-11-15,pay,middle of month
2011-11-16,2011-11-15,pre,middle of month
2011-11-01,2011-11-02,post,end of month
2011-11-01,2011-11-02,post,first of month
2011-11-01,2011-11-01,pay,first of month
2011-11-01,2011-10-31,pay,end of month
2011-11-01,2011-10-31,pre,end of month
2011-11-01,2011-10-31,pre,first of month
2011-10-16,2011-10-17,post,middle of month
2011-10-16,2011-10-15,pre,middle of month
2011-10-16,2011-10-14,pay,middle of month
2011-10-01,2011-10-02,post,end of month
2011-10-01,2011-10-02,post,first of month
2011-10-01,2011-10-01,pay,first of month
2011-10-01,2011-09-30,pay,end of month
2011-10-01,2011-09-30,pre,end of month
2011-10-01,2011-09-30,pre,first of month
2011-09-16,2011-09-17,post,middle of month
2011-09-16,2011-09-15,pay,middle of month
2011-09-16,2011-09-15,pre,middle of month
2011-09-01,2011-09-02,post,end of month
2011-09-01,2011-09-02,post,first of month
2011-09-01,2011-09-01,pay,first of month
2011-09-01,2011-08-31,pay,end of month
2011-09-01,2011-08-31,pre,end of month
2011-09-01,2011-08-31,pre,first of month
2011-08-16,2011-08-17,post,middle of month
2011-08-16,2011-08-15,pay,middle of month
2011-08-16,2011-08-15,pre,middle of month
2011-08-01,2011-08-02,post,end of month
2011-08-01,2011-08-02,post,first of month
2011-08-01,2011-08-01,pay,first of month
2011-08-01,2011-07-31,pre,end of month
2011-08-01,2011-07-31,pre,first of month
2011-08-01,2011-07-29,pay,end of month
2011-07-16,2011-07-17,post,middle of month
2011-07-16,2011-07-15,pay,middle of month
2011-07-16,2011-07-15,pre,middle of month
2011-07-01,2011-07-02,post,end of month
2011-07-01,2011-07-02,post,first of month
2011-07-01,2011-07-01,pay,first of month
2011-07-01,2011-06-30,pay,end of month
2011-07-01,2011-06-30,pre,end of month
2011-07-01,2011-06-30,pre,first of month
2011-06-16,2011-06-17,post,middle of month
2011-06-16,2011-06-15,pay,middle of month
2011-06-16,2011-06-15,pre,middle of month
2011-06-01,2011-06-02,post,end of month
2011-06-01,2011-06-02,post,first of month
2011-06-01,2011-06-01,pay,first of month
2011-06-01,2011-05-31,pay,end of month
2011-06-01,2011-05-31,pre,end of month
2011-06-01,2011-05-31,pre,first of month
2011-05-16,2011-05-17,post,middle of month
2011-05-16,2011-05-15,pre,middle of month
2011-05-16,2011-05-13,pay,middle of month
2011-05-01,2011-05-02,post,end of month
2011-05-01,2011-05-02,post,first of month
2011-05-01,2011-05-01,pay,first of month
2011-05-01,2011-04-30,pre,end of month
2011-05-01,2011-04-30,pre,first of month
2011-05-01,2011-04-29,pay,end of month
2011-04-16,2011-04-17,post,middle of month
2011-04-16,2011-04-15,pay,middle of month
2011-04-16,2011-04-15,pre,middle of month
2011-04-01,2011-04-02,post,end of month
2011-04-01,2011-04-02,post,first of month
2011-04-01,2011-04-01,pay,first of month
2011-04-01,2011-03-31,pay,end of month
2011-04-01,2011-03-31,pre,end of month
2011-04-01,2011-03-31,pre,first of month
2011-03-16,2011-03-17,post,middle of month
2011-03-16,2011-03-15,pay,middle of month
2011-03-16,2011-03-15,pre,middle of month
2011-03-01,2011-03-02,post,end of month
2011-03-01,2011-03-02,post,first of month
2011-03-01,2011-03-01,pay,first of month
2011-03-01,2011-02-28,pay,end of month
2011-03-01,2011-02-28,pre,end of month
2011-03-01,2011-02-28,pre,first of month
2011-02-16,2011-02-17,post,middle of month
2011-02-16,2011-02-15,pay,middle of month
2011-02-16,2011-02-15,pre,middle of month
2011-02-01,2011-02-02,post,end of month
2011-02-01,2011-02-02,post,first of month
2011-02-01,2011-02-01,pay,first of month
2011-02-01,2011-01-31,pay,end of month
2011-02-01,2011-01-31,pre,end of month
2011-02-01,2011-01-31,pre,first of month
2011-01-16,2011-01-17,post,middle of month
2011-01-16,2011-01-15,pre,middle of month
2011-01-16,2011-01-14,pay,middle of month
2011-01-01,2011-01-02,post,end of month
2011-01-01,2011-01-02,post,first of month
2011-01-01,2011-01-01,pay,first of month
2011-01-01,2010-12-31,pay,end of month
2011-01-01,2010-12-31,pre,end of month
2011-01-01,2010-12-31,pre,first of month
