totalTickets,eventdate,distance,atm
0,5/5/2013,954.04,AZ0936
15,5/19/2013,954.04,AZ0936
0,4/30/2013,1837.44,AZ0936
0,5/3/2013,954.04,AZ0936
0,5/5/2013,954.04,AZ0936
0,5/16/2013,954.04,AZ0936
0,4/13/2013,1837.44,AZ0936
6,5/19/2013,1468.2,AZ0936
0,5/6/2013,1837.44,AZ0936
42,6/30/2013,1813.5,AZ0936
64,6/29/2013,1813.5,AZ0936
50,6/29/2013,1813.5,AZ0936
47,6/30/2013,1813.5,AZ0936
65,6/30/2013,1813.5,AZ0936
0,7/1/2013,1813.5,AZ0936
0,6/27/2013,1813.5,AZ0936
0,6/27/2013,1813.5,AZ0936
5,6/29/2013,1813.5,AZ0936
0,6/28/2013,1813.5,AZ0936
26,6/9/2013,1116.66,AZ0936
0,11/23/2013,1813.5,AZ0936
144,12/3/2013,1813.5,AZ0936
20,7/14/2013,920.18,AZ0936
45,8/10/2013,1813.5,AZ0936
45,8/24/2013,1813.5,AZ0936
0,4/14/2013,1837.44,AZ0936
45,8/4/2013,1813.5,AZ0936
102,5/27/2013,1813.5,AZ0936
45,7/10/2013,1813.5,AZ0936
41,6/20/2013,1813.5,AZ0936
0,4/22/2013,1837.44,AZ0936
41,9/14/2013,1813.5,AZ0936
45,9/7/2013,1813.5,AZ0936
41,9/1/2013,1813.5,AZ0936
45,8/7/2013,1813.5,AZ0936
45,8/11/2013,1813.5,AZ0936
45,8/15/2013,1813.5,AZ0936
41,7/21/2013,1813.5,AZ0936
45,6/22/2013,1813.5,AZ0936
83,6/15/2013,1813.5,AZ0936
43,7/14/2013,1813.5,AZ0936
45,7/3/2013,1813.5,AZ0936
0,4/19/2013,1837.44,AZ0936
23,6/16/2013,1813.5,AZ0936
44,5/26/2013,1813.5,AZ0936
0,4/22/2013,1813.5,AZ0936
0,4/21/2013,1813.5,AZ0936
0,4/28/2013,1813.5,AZ0936
0,4/15/2013,920.18,AZ0936
10,7/21/2013,1813.5,AZ0936
8,7/14/2013,1813.5,AZ0936
0,4/24/2013,920.18,AZ0936
0,4/29/2013,920.18,AZ0936
0,5/5/2013,920.18,AZ0936
0,4/28/2013,920.18,AZ0936
0,4/25/2013,920.18,AZ0936
29,5/23/2013,920.18,AZ0936
23,5/27/2013,920.18,AZ0936
27,6/28/2013,920.18,AZ0936
78,7/11/2013,1116.66,AZ0936
160,7/25/2013,1837.44,AZ0936
2,6/7/2013,1116.66,AZ0936
2,6/8/2013,1116.66,AZ0936
0,4/28/2013,920.18,AZ0936
0,4/11/2013,1837.44,AZ0936
0,5/8/2013,920.18,AZ0936
0,5/4/2013,920.18,AZ0936
0,5/10/2013,920.18,AZ0936
425,11/6/2013,1813.5,AZ0936
18,6/23/2013,920.18,AZ0936
6,7/18/2013,920.18,AZ0936
160,6/6/2013,1837.44,AZ0936
559,8/31/2013,1813.5,AZ0936
417,12/9/2013,1813.5,AZ0936
282,8/10/2013,1837.44,AZ0936
18,8/24/2013,920.18,AZ0936
21,9/30/2013,920.18,AZ0936
0,5/11/2013,954.04,AZ0936
10,5/13/2013,954.04,AZ0936
14,5/16/2013,954.04,AZ0936
9,5/12/2013,954.04,AZ0936
6,5/17/2013,954.04,AZ0936
8,5/12/2013,954.04,AZ0936
0,5/11/2013,920.18,AZ0936
43,5/12/2013,1813.5,AZ0936
47,5/15/2013,1837.44,AZ0936
237,7/27/2013,1837.44,AZ0936
12,5/12/2013,1837.44,AZ0936
329,5/31/2013,1813.5,AZ0936
400,6/4/2013,1837.44,AZ0936
519,9/11/2013,1837.44,AZ0936
345,10/10/2013,1813.5,AZ0936
1259,8/1/2013,1813.5,AZ0936
0,10/20/2013,1625.71,AZ1200
0,4/19/2013,2610.22,AZ1200
0,4/18/2013,1625.71,AZ1200
36,5/19/2013,833.91,AZ1200
912,9/1/2013,977.18,AZ1200
812,9/2/2013,977.18,AZ1200
1015,9/1/2013,977.18,AZ1200
820,8/13/2013,977.18,AZ1200
833,9/19/2013,977.18,AZ1200
816,9/29/2013,977.18,AZ1200
809,9/28/2013,977.18,AZ1200
754,9/4/2013,977.18,AZ1200
850,9/15/2013,977.18,AZ1200
798,9/15/2013,977.18,AZ1200
772,9/29/2013,977.18,AZ1200
0,4/26/2013,977.18,AZ1200
0,4/14/2013,977.18,AZ1200
0,4/14/2013,977.18,AZ1200
0,4/13/2013,977.18,AZ1200
0,4/28/2013,977.18,AZ1200
0,4/30/2013,977.18,AZ1200
916,7/14/2013,977.18,AZ1200
903,8/8/2013,977.18,AZ1200
848,7/14/2013,977.18,AZ1200
938,7/26/2013,977.18,AZ1200
12,5/18/2013,1877.86,AZ1200
0,5/4/2013,1877.86,AZ1200
6,5/18/2013,1877.86,AZ1200
0,5/20/2013,1877.86,AZ1200
6,5/19/2013,1877.86,AZ1200
0,5/6/2013,1877.86,AZ1200
0,5/9/2013,1877.86,AZ1200
0,5/10/2013,1877.86,AZ1200
0,5/2/2013,1877.86,AZ1200
0,5/5/2013,1877.86,AZ1200
15,5/19/2013,1877.86,AZ1200
0,5/3/2013,1877.86,AZ1200
0,5/5/2013,1877.86,AZ1200
0,5/16/2013,1877.86,AZ1200
6,5/19/2013,1625.71,AZ1200
42,6/30/2013,833.91,AZ1200
64,6/29/2013,833.91,AZ1200
50,6/29/2013,833.91,AZ1200
47,6/30/2013,833.91,AZ1200
65,6/30/2013,833.91,AZ1200
0,7/1/2013,833.91,AZ1200
0,6/27/2013,833.91,AZ1200
0,6/27/2013,833.91,AZ1200
5,6/29/2013,833.91,AZ1200
0,6/28/2013,833.91,AZ1200
26,6/9/2013,1088.63,AZ1200
43,1/12/2014,977.18,AZ1200
0,11/23/2013,833.91,AZ1200
144,12/3/2013,833.91,AZ1200
45,8/10/2013,833.91,AZ1200
45,8/24/2013,833.91,AZ1200
45,8/4/2013,833.91,AZ1200
102,5/27/2013,833.91,AZ1200
45,7/10/2013,833.91,AZ1200
41,6/20/2013,833.91,AZ1200
41,9/14/2013,833.91,AZ1200
45,9/7/2013,833.91,AZ1200
41,9/1/2013,833.91,AZ1200
45,8/7/2013,833.91,AZ1200
45,8/11/2013,833.91,AZ1200
45,8/15/2013,833.91,AZ1200
41,7/21/2013,833.91,AZ1200
45,6/22/2013,833.91,AZ1200
83,6/15/2013,833.91,AZ1200
43,7/14/2013,833.91,AZ1200
45,7/3/2013,833.91,AZ1200
23,6/16/2013,833.91,AZ1200
44,5/26/2013,833.91,AZ1200
0,4/22/2013,833.91,AZ1200
0,4/21/2013,833.91,AZ1200
0,4/28/2013,833.91,AZ1200
10,7/21/2013,833.91,AZ1200
8,7/14/2013,833.91,AZ1200
78,7/11/2013,1088.63,AZ1200
2,6/7/2013,1088.63,AZ1200
2,6/8/2013,1088.63,AZ1200
826,9/17/2013,977.18,AZ1200
830,9/19/2013,977.18,AZ1200
849,8/29/2013,977.18,AZ1200
1010,8/31/2013,977.18,AZ1200
833,8/11/2013,977.18,AZ1200
877,7/28/2013,977.18,AZ1200
911,7/28/2013,977.18,AZ1200
796,8/14/2013,977.18,AZ1200
831,8/27/2013,977.18,AZ1200
